directory	srr_id
Controls/Gum+MouthOther	SRR16612831
Controls/Gum+MouthOther	SRR16612833
Controls/Gum+MouthOther	SRR16612836
Controls/Gum+MouthOther	SRR16612838
Controls/Gum+MouthOther	SRR16612839
Controls/Gum+MouthOther	SRR16612841
Controls/Gum+MouthOther	SRR16612844
Controls/Gum+MouthOther	SRR16612846
Controls/Gum+MouthOther	SRR16612847
Controls/Gum+MouthOther	SRR16612849
Controls/Gum+MouthOther	SRR16940416
Controls/Gum+MouthOther	SRR16940420
Controls/Gum+MouthOther	SRR16940425
Controls/Gum+MouthOther	SRR16940430
Controls/Gum+MouthOther	SRR16940432
Controls/Gum+MouthOther	SRR16940449
Controls/Gum+MouthOther	SRR16940450
Controls/Gum+MouthOther	SRR16940451
Controls/Gum+MouthOther	SRR16940455
Controls/Gum+MouthOther	SRR16940460
Controls/Gum+MouthOther	SRR16940464
Controls/Gum+MouthOther	SRR22827414
Controls/Gum+MouthOther	SRR22827415
Controls/Gum+MouthOther	SRR22827416
Controls/Gum+MouthOther	SRR30291126
Controls/Gum+MouthOther	SRR30291129
Controls/Gum+MouthOther	SRR30291132
Controls/Gum+MouthOther	SRR30291161
Controls/Gum+MouthOther	SRR30291166
Controls/Gum+MouthOther	SRR30291171
Controls/Gum+MouthOther	SRR30291176
Controls/Larynx	SRR10116266
Controls/Larynx	SRR10116268
Controls/Larynx	SRR10116270
Controls/Larynx	SRR22060457
Controls/Larynx	SRR22060458
Controls/Larynx	SRR22060459
Controls/Larynx	SRR22060460
Controls/Larynx	SRR22060461
Controls/Larynx	SRR22060462
Controls/Larynx	SRR22060463
Controls/Larynx	SRR22060473
Controls/Larynx	SRR22060474
Controls/Larynx	SRR22060475
Controls/MouthFloor	SRR16013053
Controls/MouthFloor	SRR16013071
Controls/Pancreas	SRR10030984
Controls/Pancreas	SRR10030985
Controls/Pancreas	SRR10030986
Controls/Pancreas	SRR10030987
Controls/Pancreas	SRR10030988
Controls/Pancreas	SRR11792171
Controls/Pancreas	SRR11792172
Controls/Pancreas	SRR11792173
Controls/Pancreas	SRR11792174
Controls/Pancreas	SRR17335067
Controls/Pancreas	SRR17335069
Controls/Pancreas	SRR17335071
Controls/Pancreas	SRR17335073
Controls/Pancreas	SRR17335075
Controls/Pancreas	SRR17335077
Controls/Pancreas	SRR17335079
Controls/Pancreas	SRR17335081
Controls/Pancreas	SRR17335083
Controls/Pancreas	SRR17335085
Controls/Pancreas	SRR17335087
Controls/Pancreas	SRR17335089
Controls/Pancreas	SRR17335092
Controls/Pancreas	SRR17335094
Controls/Pancreas	SRR21833008
Controls/Pancreas	SRR21833010
Controls/Pancreas	SRR21833012
Controls/Pancreas	SRR21833015
Controls/Pancreas	SRR21833018
Controls/Pancreas	SRR25143506
Controls/Pancreas	SRR25143507
Controls/Pancreas	SRR25143508
Controls/Pancreas	SRR25143509
Controls/Pancreas	SRR25143510
Controls/Pancreas	SRR25143511
Controls/Pancreas	SRR25143512
Controls/Pancreas	SRR25143513
Controls/Pancreas	SRR25143514
Controls/Pancreas	SRR25143515
Controls/Pancreas	SRR25143516
Controls/Pancreas	SRR25143517
Controls/Pancreas	SRR25143518
Controls/Pancreas	SRR25143519
Controls/Pancreas	SRR25143520
Controls/Pancreas	SRR25143521
Controls/Pancreas	SRR25143522
Controls/Pancreas	SRR25143523
Controls/Pancreas	SRR25143524
Controls/Pancreas	SRR25143525
Controls/Pancreas	SRR25143526
Controls/Pancreas	SRR25143527
Controls/Pancreas	SRR25716763
Controls/Pancreas	SRR25716765
Controls/Pancreas	SRR25716767
Controls/Pancreas	SRR7768602
Controls/Pancreas	SRR7768603
Controls/Pancreas	SRR7768604
Controls/Pancreas	SRR7768605
Controls/Pancreas	SRR7768606
Controls/Pancreas	SRR7768607
Controls/Pancreas	SRR7818895
Controls/Pancreas	SRR7818896
Controls/Pancreas	SRR7818897
Controls/Pancreas	SRR7818898
Controls/Pancreas	SRR7818899
Controls/Pancreas	SRR7818900
Controls/Pancreas	SRR7818901
Controls/Pancreas	SRR7818902
Controls/Pancreas	SRR7818903
Controls/Pancreas	SRR7818904
Controls/Salivary	SRR10246417
Controls/Salivary	SRR10246418
Controls/Salivary	SRR15100666
Controls/Salivary	SRR15100668
Controls/Salivary	SRR15100670
Controls/Salivary	SRR15100672
Controls/Salivary	SRR15100674
Controls/Salivary	SRR15132668
Controls/Salivary	SRR15132670
Controls/Salivary	SRR15132672
Controls/Salivary	SRR15132674
