directory	srr_id	in_sample_list	in_sra_dir
Controls/Gum+MouthOther	SRR16612828	1	1
Controls/Gum+MouthOther	SRR16612830	1	1
Controls/Gum+MouthOther	SRR16612831	1	1
Controls/Gum+MouthOther	SRR16612833	1	1
Controls/Gum+MouthOther	SRR16612836	1	1
Controls/Gum+MouthOther	SRR16612838	1	1
Controls/Gum+MouthOther	SRR16612839	1	1
Controls/Gum+MouthOther	SRR16612841	1	1
Controls/Gum+MouthOther	SRR16612844	1	1
Controls/Gum+MouthOther	SRR16612846	1	1
Controls/Gum+MouthOther	SRR16612847	1	1
Controls/Gum+MouthOther	SRR16612849	1	1
Controls/Gum+MouthOther	SRR16940416	1	1
Controls/Gum+MouthOther	SRR16940420	1	1
Controls/Gum+MouthOther	SRR16940425	1	1
Controls/Gum+MouthOther	SRR16940430	1	1
Controls/Gum+MouthOther	SRR16940432	1	1
Controls/Gum+MouthOther	SRR16940449	1	1
Controls/Gum+MouthOther	SRR16940450	1	1
Controls/Gum+MouthOther	SRR16940451	1	1
Controls/Gum+MouthOther	SRR16940455	1	1
Controls/Gum+MouthOther	SRR16940460	1	1
Controls/Gum+MouthOther	SRR16940464	1	1
Controls/Gum+MouthOther	SRR22827414	1	1
Controls/Gum+MouthOther	SRR22827415	1	1
Controls/Gum+MouthOther	SRR22827416	1	1
Controls/Gum+MouthOther	SRR30291126	1	0
Controls/Gum+MouthOther	SRR30291129	1	0
Controls/Gum+MouthOther	SRR30291132	1	0
Controls/Gum+MouthOther	SRR30291161	1	0
Controls/Gum+MouthOther	SRR30291166	1	0
Controls/Gum+MouthOther	SRR30291171	1	0
Controls/Gum+MouthOther	SRR30291176	1	0
Controls/Larynx	SRR10116266	1	0
Controls/Larynx	SRR10116268	1	0
Controls/Larynx	SRR10116270	1	0
Controls/Larynx	SRR22060457	1	0
Controls/Larynx	SRR22060458	1	0
Controls/Larynx	SRR22060459	1	0
Controls/Larynx	SRR22060460	1	0
Controls/Larynx	SRR22060461	1	0
Controls/Larynx	SRR22060462	1	0
Controls/Larynx	SRR22060463	1	0
Controls/Larynx	SRR22060473	1	0
Controls/Larynx	SRR22060474	1	0
Controls/Larynx	SRR22060475	1	0
Controls/MouthFloor	SRR16013053	1	1
Controls/MouthFloor	SRR16013071	1	1
Controls/Pancreas	SRR10030984	1	0
Controls/Pancreas	SRR10030985	1	0
Controls/Pancreas	SRR10030986	1	0
Controls/Pancreas	SRR10030987	1	0
Controls/Pancreas	SRR10030988	1	0
Controls/Pancreas	SRR11792171	1	0
Controls/Pancreas	SRR11792172	1	0
Controls/Pancreas	SRR11792173	1	0
Controls/Pancreas	SRR11792174	1	0
Controls/Pancreas	SRR17335067	1	0
Controls/Pancreas	SRR17335069	1	0
Controls/Pancreas	SRR17335071	1	0
Controls/Pancreas	SRR17335073	1	0
Controls/Pancreas	SRR17335075	1	0
Controls/Pancreas	SRR17335077	1	0
Controls/Pancreas	SRR17335079	1	0
Controls/Pancreas	SRR17335081	1	0
Controls/Pancreas	SRR17335083	1	0
Controls/Pancreas	SRR17335085	1	0
Controls/Pancreas	SRR17335087	1	0
Controls/Pancreas	SRR17335089	1	0
Controls/Pancreas	SRR17335092	1	1
Controls/Pancreas	SRR17335094	1	0
Controls/Pancreas	SRR21833008	1	0
Controls/Pancreas	SRR21833010	1	0
Controls/Pancreas	SRR21833012	1	0
Controls/Pancreas	SRR21833015	1	0
Controls/Pancreas	SRR21833018	1	0
Controls/Pancreas	SRR25143506	1	0
Controls/Pancreas	SRR25143507	1	0
Controls/Pancreas	SRR25143508	1	0
Controls/Pancreas	SRR25143509	1	0
Controls/Pancreas	SRR25143510	1	0
Controls/Pancreas	SRR25143511	1	0
Controls/Pancreas	SRR25143512	1	0
Controls/Pancreas	SRR25143513	1	0
