srr_id,in_sample_list,in_Pancreas_SRA,in_Pancreas_SRA2,in_any_reference
SRR23343907,1,1,0,1
SRR23343908,1,1,0,1
SRR23343909,1,1,0,1
SRR23343910,1,1,0,1
SRR23343911,1,1,0,1
SRR23343912,1,1,0,1
SRR23343913,1,1,0,1
SRR23343914,1,1,0,1
SRR23343915,1,1,1,1
SRR23343916,1,1,0,1
SRR23343917,1,1,0,1
SRR23343918,1,1,0,1
SRR23343919,1,1,0,1
SRR23343920,1,1,0,1
SRR23343921,1,1,0,1
SRR23343922,1,1,0,1
SRR23343923,1,1,0,1
SRR23343924,1,1,0,1
SRR23343925,1,1,0,1
SRR23343926,1,1,0,1
SRR23343927,1,1,0,1
SRR23343928,1,1,0,1
SRR23343929,1,1,0,1
SRR23343930,1,1,0,1
SRR23343931,1,1,0,1
SRR23343932,1,1,0,1
SRR23343933,1,1,0,1
SRR23343934,1,1,0,1
SRR23343935,1,1,0,1
SRR23343936,1,1,0,1
SRR23343937,1,1,0,1
SRR23343938,1,1,0,1
SRR23343939,1,1,0,1
SRR23343940,1,1,0,1
SRR23343941,1,1,0,1
SRR23343942,1,1,0,1
SRR23343943,1,1,0,1
SRR23343944,1,1,0,1
SRR23343945,1,1,0,1
SRR23343946,1,1,0,1
SRR23343947,1,1,0,1
SRR23343948,1,1,0,1
SRR23343949,1,1,0,1
SRR23343950,1,1,0,1
SRR23343951,1,1,0,1
SRR23343952,1,1,0,1
SRR23343953,1,1,0,1
SRR23343954,1,1,0,1
SRR23343955,1,1,0,1
SRR23343956,1,1,0,1
SRR23343957,1,1,0,1
SRR23343958,1,1,0,1
SRR23343959,1,1,0,1
SRR23343960,1,1,0,1
SRR23343961,1,1,0,1
SRR23343962,1,1,0,1
SRR23343963,1,1,0,1
SRR23343964,1,1,1,1
SRR23343965,1,1,0,1
SRR23343966,1,1,0,1
SRR23343967,1,1,0,1
SRR23343968,1,1,0,1
SRR23343969,1,1,0,1
SRR23343970,1,1,0,1
SRR23343971,1,1,0,1
SRR23343972,1,1,0,1
SRR23343973,1,1,0,1
SRR23343974,1,1,0,1
SRR23343975,1,1,0,1
SRR23343976,1,1,0,1
SRR23343977,1,1,0,1
SRR23343978,1,1,0,1
SRR23343979,1,1,0,1
SRR23343980,1,1,0,1
SRR23343981,1,1,0,1
SRR23343982,1,1,0,1
SRR23343983,1,1,0,1
SRR23343984,1,1,0,1
SRR23343985,1,1,0,1
SRR23343986,1,1,0,1
SRR23343987,1,1,0,1
SRR23343988,1,1,0,1
SRR23343989,1,1,0,1
SRR23343990,1,1,0,1
SRR23343991,1,1,0,1
SRR23343992,1,1,0,1
SRR23343993,1,1,0,1
SRR23343994,1,1,0,1
SRR23343995,1,1,0,1
SRR23343996,1,1,0,1
SRR23343997,1,1,0,1
SRR23343998,1,1,0,1
SRR23343999,1,1,0,1
SRR23344000,1,1,0,1
SRR23344001,1,1,0,1
SRR25143496,1,1,0,1
SRR25143497,1,1,0,1
SRR25143498,1,1,0,1
SRR25143499,1,1,0,1
SRR25143500,1,1,0,1
SRR25143501,1,1,0,1
SRR25143502,1,1,0,1
SRR25143503,1,1,0,1
SRR25143504,1,1,0,1
SRR25143505,1,1,0,1
SRR25443899,1,1,0,1
SRR25443900,1,1,0,1
SRR25443901,1,1,0,1
SRR25443902,1,1,0,1
SRR25443903,1,1,0,1
SRR25443904,1,1,0,1
SRR25716769,1,1,0,1
SRR25716771,1,1,0,1
SRR25716773,1,1,0,1
SRR26113230,1,1,1,1
SRR26113231,1,1,0,1
SRR26113232,1,1,0,1
SRR26113233,1,1,0,1
SRR26113234,1,1,0,1
SRR26113235,1,1,0,1
SRR26113236,1,1,0,1
SRR26113237,1,1,0,1
SRR26113238,1,1,0,1
SRR26113239,1,1,0,1
SRR26113240,1,1,0,1
SRR26113241,1,1,0,1
SRR26113242,1,1,0,1
SRR26113243,1,1,0,1
SRR26113244,1,1,0,1
SRR26113245,1,1,0,1
SRR26113246,1,1,0,1
SRR26113247,1,1,0,1
SRR26113248,1,1,0,1
SRR26113249,1,1,0,1
SRR26113250,1,1,0,1
SRR26113251,1,1,0,1
SRR26113252,1,1,0,1
SRR26113253,1,1,0,1
SRR26113254,1,1,0,1
SRR26113255,1,1,0,1
SRR26113256,1,1,0,1
SRR26113257,1,1,0,1
SRR26113258,1,1,0,1
SRR26113259,1,1,0,1
SRR26113260,1,1,0,1
SRR26113261,1,1,0,1
SRR26113262,1,1,0,1
SRR26113263,1,1,0,1
SRR26113264,1,1,0,1
SRR26113265,1,1,0,1
SRR26113266,1,1,0,1
SRR26113267,1,1,0,1
SRR26113268,1,1,0,1
SRR26113269,1,1,0,1
SRR26113270,1,1,0,1
SRR26113271,1,1,0,1
SRR27243564,1,1,0,1
SRR27243565,1,1,0,1
SRR27243566,1,1,0,1
SRR27243567,1,1,0,1
SRR27243568,1,1,1,1
SRR27243569,1,1,0,1
SRR27243570,1,1,0,1
SRR27243571,1,1,0,1
SRR27243572,1,1,0,1
SRR27243573,1,1,0,1
SRR27243574,1,1,0,1
SRR27243575,1,1,0,1
SRR27243576,1,1,0,1
SRR27243577,1,1,0,1
SRR27243578,1,1,0,1
SRR27243579,1,1,0,1
SRR27243580,1,1,0,1
SRR27243581,1,1,0,1
SRR27243582,1,1,0,1
SRR27243583,1,1,0,1
SRR27243584,1,1,0,1
SRR27243585,1,1,1,1
SRR27243586,1,1,0,1
SRR27243587,1,1,0,1
SRR27243588,1,1,0,1
SRR27243589,1,1,0,1
SRR27243590,1,1,0,1
SRR27243591,1,1,0,1
SRR27243592,1,1,0,1
SRR27243593,1,1,0,1
SRR27481275,1,1,0,1
SRR27481276,1,1,0,1
SRR27481277,1,1,0,1
SRR27481278,1,1,0,1
SRR27481279,1,1,0,1
SRR27481280,1,1,0,1
SRR27481281,1,1,0,1
SRR27481282,1,1,0,1
SRR27481283,1,1,0,1
SRR27481284,1,1,0,1
SRR27481285,1,1,0,1
SRR27481286,1,1,0,1
SRR27481287,1,1,0,1
SRR27481288,1,1,0,1
SRR27481289,1,1,0,1
